Gene_ID	Taxon
AT3G49960	Arabidopsis thaliana
AT1G70710	Arabidopsis thaliana
AT1G10550	Arabidopsis thaliana
AT5G67400	Arabidopsis thaliana
AT1G07370	Arabidopsis thaliana
AT2G36870	Arabidopsis thaliana
AT5G23210	Arabidopsis thaliana
AT1G67750	Arabidopsis thaliana
AT2G39530	Arabidopsis thaliana
AT1G13420	Arabidopsis thaliana
AT2G04780	Arabidopsis thaliana
AT1G11600	Arabidopsis thaliana
AT1G20850	Arabidopsis thaliana
AT5G13140	Arabidopsis thaliana
AT2G10940	Arabidopsis thaliana
AT1G11580	Arabidopsis thaliana
AT2G06850	Arabidopsis thaliana
AT3G54400	Arabidopsis thaliana
AT4G08685	Arabidopsis thaliana
AT3G44990	Arabidopsis thaliana
AT3G02640	Arabidopsis thaliana
AT3G27400	Arabidopsis thaliana
AT3G16370	Arabidopsis thaliana
AT5G16250	Arabidopsis thaliana
AT4G02330	Arabidopsis thaliana
AT3G45070	Arabidopsis thaliana
AT5G20630	Arabidopsis thaliana
AT1G52690	Arabidopsis thaliana
AT5G12020	Arabidopsis thaliana
AT1G71000	Arabidopsis thaliana
AT4G26260	Arabidopsis thaliana
AT2G44990	Arabidopsis thaliana
AT1G12940	Arabidopsis thaliana
POPTR_007G053400v3	Populus trichocarpa
POPTR_001G339500v3	Populus trichocarpa
POPTR_003G167100v3	Populus trichocarpa
POPTR_005G091700v3	Populus trichocarpa
POPTR_006G142600v3	Populus trichocarpa
POPTR_008G182200v3	Populus trichocarpa
POPTR_010G109200v3	Populus trichocarpa
POPTR_010G205300v3	Populus trichocarpa
POPTR_011G025400v3	Populus trichocarpa
POPTR_014G056800v3	Populus trichocarpa
POPTR_014G115000v3	Populus trichocarpa
POPTR_014G127000v3	Populus trichocarpa
POPTR_015G081500v3	Populus trichocarpa
POPTR_018G069700v3	Populus trichocarpa
Zm00001eb192050	Zea mays
Zm00001eb425710	Zea mays
Zm00001eb431990	Zea mays
Zm00001eb329730	Zea mays
Zm00001eb197870	Zea mays
Zm00001eb282040	Zea mays
Zm00001eb225160	Zea mays
Zm00001eb027760	Zea mays
Zm00001eb141270	Zea mays
Zm00001eb361000	Zea mays
Zm00001eb022710	Zea mays
Zm00001eb346510	Zea mays
Zm00001eb161610	Zea mays
Zm00001eb294480	Zea mays
Sobic.002G244300	Sorghum bicolor
Sobic.009G008800	Sorghum bicolor
Sobic.007G151300	Sorghum bicolor
Sobic.003G214000	Sorghum bicolor
Sobic.003G039400	Sorghum bicolor
Sobic.009G215700	Sorghum bicolor
Sobic.002G244300	Sorghum bicolor
Sobic.009G008800	Sorghum bicolor
Sobic.007G151300	Sorghum bicolor
Sobic.009G215700	Sorghum bicolor
Sobic.003G039400	Sorghum bicolor
Sobic.003G214000	Sorghum bicolor
