"","AT3G49960","AT5G67400","POPTR_007G053400v3","AT2G39530","POPTR_010G205300v3","AT1G11580","POPTR_011G025400v3","AT3G27400","POPTR_001G339500v3","AT4G26260","POPTR_018G069700v3","AT2G44990","POPTR_014G056800v3","AT1G12940","POPTR_015G081500v3","AT1G67750","POPTR_008G182200v3","AT5G13140","POPTR_003G167100v3","AT4G02330","POPTR_014G127000v3","AT5G20630","POPTR_006G142600v3","AT1G70710","POPTR_010G109200v3","AT1G10550","POPTR_014G115000v3","AT5G23210","POPTR_005G091700v3"
"AP2",0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,-0.96551724137931
"ARF",-0.448275862068966,-0.448275862068966,-0.448275862068966,-0.448275862068966,-0.448275862068966,0.551724137931034,-0.448275862068966,0.551724137931034,-0.448275862068966,0.551724137931034,-0.448275862068966,0.551724137931034,-0.448275862068966,0.551724137931034,-0.448275862068966,-0.448275862068966,-0.448275862068966,0.551724137931034,-0.448275862068966,0.551724137931034,0.551724137931034,0.551724137931034,-0.448275862068966,0.551724137931034,0.551724137931034,0.551724137931034,-0.448275862068966,0.551724137931034,-0.448275862068966
"ARID",0.0689655172413793,-0.931034482758621,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,-0.931034482758621,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793
"ARR-B",0.310344827586207,-0.689655172413793,-0.689655172413793,-0.689655172413793,-0.689655172413793,0.310344827586207,-0.689655172413793,0.310344827586207,-0.689655172413793,0.310344827586207,-0.689655172413793,0.310344827586207,-0.689655172413793,0.310344827586207,-0.689655172413793,0.310344827586207,0.310344827586207,0.310344827586207,0.310344827586207,0.310344827586207,0.310344827586207,0.310344827586207,0.310344827586207,0.310344827586207,0.310344827586207,0.310344827586207,0.310344827586207,0.310344827586207,0.310344827586207
"B3",0.0344827586206896,0.0344827586206896,-0.96551724137931,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896
"BBR-BPC",0.758620689655172,-0.241379310344828,-0.241379310344828,-0.241379310344828,-0.241379310344828,-0.241379310344828,-0.241379310344828,0.758620689655172,-0.241379310344828,-0.241379310344828,-0.241379310344828,-0.241379310344828,-0.241379310344828,-0.241379310344828,-0.241379310344828,-0.241379310344828,-0.241379310344828,0.758620689655172,-0.241379310344828,-0.241379310344828,-0.241379310344828,0.758620689655172,-0.241379310344828,0.758620689655172,-0.241379310344828,-0.241379310344828,-0.241379310344828,0.758620689655172,0.758620689655172
"BES1",-0.344827586206897,-0.344827586206897,0.655172413793103,-0.344827586206897,-0.344827586206897,0.655172413793103,-0.344827586206897,0.655172413793103,-0.344827586206897,-0.344827586206897,0.655172413793103,0.655172413793103,-0.344827586206897,-0.344827586206897,-0.344827586206897,-0.344827586206897,-0.344827586206897,-0.344827586206897,-0.344827586206897,-0.344827586206897,-0.344827586206897,0.655172413793103,0.655172413793103,0.655172413793103,0.655172413793103,-0.344827586206897,0.655172413793103,-0.344827586206897,-0.344827586206897
"bZIP",0.0344827586206896,0.0344827586206896,-0.96551724137931,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896
"C2C2COlike",-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,0.931034482758621,0.931034482758621,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793,-0.0689655172413793
"C3H",0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,-0.96551724137931,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896
