gene_id	predicate	GO_label	GO_CURIE								
AT2G39530	enables	"4 iron, 4 sulfur cluster binding"	GO:0051539								
POPTR_010G205300v3	enables	"4 iron, 4 sulfur cluster binding"	GO:0051539								
AT2G44990	enables	"9-cis-beta-carotene 9',10'-cleavage oxygenase activity"	GO:0102395								
POPTR_014G056800v3	enables	"9-cis-beta-carotene 9',10'-cleavage oxygenase activity"	GO:0102395								
AT2G44990	enables	9-cis-epoxycarotenoid dioxygenase activity	GO:0045549								
POPTR_014G056800v3	enables	9-cis-epoxycarotenoid dioxygenase activity	GO:0045549								
AT1G10550	active in	apoplast	GO:0048046								
POPTR_014G115000v3	active in	apoplast	GO:0048046								
AT1G11580	enables	aspartyl esterase activity	GO:0045330								
AT4G02330	enables	aspartyl esterase activity	GO:0045330								
POPTR_011G025400v3	enables	aspartyl esterase activity	GO:0045330								
POPTR_014G127000v3	enables	aspartyl esterase activity	GO:0045330								
AT2G44990	regulates	auxin polar transport	GO:0009926								
POPTR_014G056800v3	regulates	auxin polar transport	GO:0009926								
AT5G13140	regulates	biological process	GO:0008150								
POPTR_003G167100v3	regulates	biological process	GO:0008150								
AT1G10550	regulates	carbohydrate metabolic process	GO:0005975								
AT1G70710	regulates	carbohydrate metabolic process	GO:0005975								
POPTR_010G109200v3	regulates	carbohydrate metabolic process	GO:0005975								
POPTR_014G115000v3	regulates	carbohydrate metabolic process	GO:0005975								
AT2G44990	regulates	carotene catabolic process	GO:0016121								
POPTR_014G056800v3	regulates	carotene catabolic process	GO:0016121								
AT1G70710	enables	catalytic activity	GO:0003824								
POPTR_010G109200v3	enables	catalytic activity	GO:0003824								
AT1G10550	active in	cell wall	GO:0005618								
AT1G11580	active in 	cell wall	GO:0005618								
AT4G02330	active in	cell wall	GO:0005618								
AT5G20630	active in	cell wall	GO:0005618								
POPTR_006G142600v3	active in	cell wall	GO:0005618								
POPTR_014G115000v3	active in	cell wall	GO:0005618								
POPTR_014G127000v3	active in	cell wall	GO:0005618								
AT1G10550	regulates	cell wall biogenesis	GO:0042546								
POPTR_014G115000v3	regulates	cell wall biogenesis	GO:0042546								
AT1G11580	regulates	cell wall modification	GO:0042545								
AT4G02330	regulates	cell wall modification	GO:0042545								
POPTR_011G025400v3	regulates	cell wall modification	GO:0042545								
POPTR_014G127000v3	regulates	cell wall modification	GO:0042545								
AT1G70710	regulates	cell wall modification involved in multidimensional cell growth	GO:0042547								
POPTR_010G109200v3	regulates	cell wall modification involved in multidimensional cell growth	GO:0042547								
AT1G10550	regulates	cellular glucan metabolic process	GO:0006073								
POPTR_014G115000v3	regulates	cellular glucan metabolic process	GO:0006073								
AT1G12940	regulates	cellular response to nitrate	GO:0071249								
POPTR_015G081500v3	regulates	cellular response to nitrate	GO:0071249								
AT1G70710	enables	cellulase activity	GO:0008810								
POPTR_010G109200v3	enables	cellulase activity	GO:0008810								
AT1G70710	regulates	cellulose catabolic process	GO:0030245								
POPTR_010G109200v3	regulates	cellulose catabolic process	GO:0030245								
AT1G70710	active in	chloroplast	GO:0009507								
AT2G39530	active in	chloroplast	GO:0009507								
AT2G44990	active in	chloroplast	GO:0009507								
POPTR_014G056800v3	active in	chloroplast	GO:0009507								
AT2G44990	active in	chloroplast stroma	GO:0009570								
POPTR_014G056800v3	active in	chloroplast stroma	GO:0009570								
AT1G12940	active in	cytoplasm	GO:0005737								
AT4G26260	active in	cytoplasm	GO:0005737								
POPTR_018G069700v3	active in	cytoplasm	GO:0005737								
AT1G11580	active in 	cytosol	GO:0005829								
AT3G27400	active in	cytosol	GO:0005829								
POPTR_001G339500v3	active in	cytosol	GO:0005829								
AT1G11580	regulates	defense response to fungus	GO:0050832								
